time,phi,theta,phi_dot,theta_dot,ua,ref,ts
8.312,-5.785088605265554,-0.47249248888811346,19.075487361610012,-2.123997216358407,1.5299999999999998,-0.46,0.0
8.322,-5.58155309161198,-0.5847812795728409,18.208338341574873,-2.225124698399099,2.0700000000000003,0.16,0.0
8.333,-5.403546831864816,-0.42113157650447974,16.717246770834965,-1.8091640496302321,0.7699999999999999,-0.77,0.0
8.343,-5.245537945685135,-0.48738920102805416,14.561632939483001,-0.23680345609871223,0.9500000000000001,-0.84,0.0
8.353,-5.104922639551281,-0.43730227427489893,12.645198232721938,0.6147508091287399,1.9500000000000002,0.39,0.0
8.363,-4.965688010971263,-0.25027267436509404,13.106684459546157,1.3608309656835016,1.85,-0.11,0.0
8.374,-4.840403379778467,-0.18795204248534142,12.201022993542876,2.0445811426936955,2.65,0.7,0.0
8.383,-4.711149121030193,-0.09297768017299046,12.69847518387653,1.7618947745246758,1.67,-0.26,0.0
8.393,-4.59037893085223,-0.23309548485300208,12.022588482200078,1.4688920174375746,1.8900000000000001,0.08,0.0
8.403,-4.448020481956392,-0.3001029585955489,13.87150033158218,0.9484421076422489,2.83,0.56,0.0
8.413,-4.309538296247918,-0.0810272925094585,13.109042242246984,0.4823594396558064,1.2000000000000002,-0.41,0.0
8.423,-4.1827694154633885,-0.3071771780432034,12.592654346762997,0.5847236154241839,2.45,0.56,0.0
8.433,-4.043782204958074,-0.1911952732980588,13.515944670978955,-0.07643447782022997,1.2799999999999998,-0.47,0.0
8.443,-3.897891951301264,-0.3319875148591255,13.596849385288289,0.3116007155284055,1.7600000000000002,-0.38,0.0
8.453,-3.762873844497563,-0.24223447200271594,12.249964401847048,0.1549519917797174,1.44,-0.1,0.0
8.463,-3.642318730012861,-0.22590651468089123,11.766683461830077,0.634756731180857,1.5899999999999999,-0.2,0.0
8.474,-3.5303494179129435,-0.17844036024382742,10.938935090339152,0.7417060760151339,1.38,-0.19,0.0
8.483,-3.4069143258184242,-0.2335270050802838,11.52594907496463,0.9155914464480877,1.75,-0.2,0.0
8.493,-3.2838812021807233,-0.18654552131542662,11.9071522178169,0.939017396417962,2.08,0.07,0.0
8.503,-3.1769276619608724,-0.04740313839343005,10.449229608363074,0.9487097819613839,1.65,0.15,0.0
8.513,-3.0561874652237666,-0.18068417028236253,11.661316116227262,0.5718592706717109,2.7800000000000002,0.84,0.0
8.523,-2.9306784514481135,-0.024578959051933497,12.717247417316146,0.15992064321058386,1.8200000000000003,-0.05,0.0
8.534,-2.794856939671562,-0.16786142167443394,12.998519335006103,0.14408309287976795,2.36,0.27,0.0
8.544,-2.6539215767841955,-0.12881288780734873,13.480535578039218,-0.22629240774921422,2.4,0.41,0.0
8.553,-2.512692286142094,-0.11866124275811198,13.57652433110831,-0.5083973900526741,1.7800000000000002,-0.1,0.0
8.563,-2.3811305903853284,-0.23833809258470973,13.128560630241877,-0.9615165353082396,0.7200000000000001,-0.93,0.0
8.573,-2.2469986486619318,-0.43208174684687173,12.268656936996203,-1.293109719566396,1.06,-0.4,0.0
8.583,-2.1319424982948423,-0.34657234907143,10.65522293069277,-1.5588397112253192,0.86,0.02,0.0
8.593,-2.0320629965748678,-0.21329442131310328,9.301976692461542,-0.1714795927499536,1.7200000000000002,0.56,0.0
8.603,-1.925004317092216,-0.0743225955830665,9.752852990124904,0.6343276757437215,2.3200000000000003,0.83,0.0
8.613,-1.8279720238949142,-0.002374557936966129,10.289031954152565,0.6789693945792672,0.64,-0.86,0.0
8.623,-1.7094889495759193,-0.3415676982906548,10.858078257260711,0.5780846775603155,0.91,-1.0,0.0
8.633,-1.6110850905899932,-0.26962858660347033,8.559507197444846,0.19613397901209662,0.7399999999999999,-0.22,0.0
8.643,-1.5235936048462715,-0.28683382188320183,8.07287381116196,-0.18309808592219967,0.9,0.02,0.0
8.653,-1.4422421653871396,-0.14566943615108702,8.060027135904487,0.9641070970099029,0.83,-0.6,0.0
8.663,-1.3624441170280253,-0.14295158033967167,7.140912382002777,1.2859486936892366,1.1800000000000002,-0.05,0.0
8.675,-1.298255543181373,-0.07517453626682404,6.406127448156246,1.0730622280937108,1.4700000000000002,0.54,0.0
8.684,-1.215044828589998,-0.06274809603534356,8.25601672163143,1.0969977888324975,1.4500000000000002,-0.15,0.0
8.694,-1.1234694074220504,-0.06648217575300334,8.523794087666218,1.0484403573179877,2.27,0.7,0.0
